,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
3748,24328822,electron/asar,https://api.github.com/repos/electron/asar,False,True,43.0,81.0
3809,36126328,moltin/ios-sdk,https://api.github.com/repos/moltin/ios-sdk,False,True,36.0,17.0
3858,58241401,conda-forge/tuiview-feedstock,https://api.github.com/repos/conda-forge/tuiview-feedstock,False,True,28.0,110.0
3874,46481018,tkrs/maxmind-geoipupdate,https://api.github.com/repos/tkrs/maxmind-geoipupdate,False,True,21.0,13.0
3877,7164538,grahamgilbert/Crypt-Server,https://api.github.com/repos/grahamgilbert/Crypt-Server,False,True,47.0,24.0
3984,65855357,jhuapl-boss/ingest-client,https://api.github.com/repos/jhuapl-boss/ingest-client,False,True,25.0,23.0
4013,56608382,ktsn/vuex-connect,https://api.github.com/repos/ktsn/vuex-connect,False,True,38.0,5.0
4042,62891647,hull-ships/hull-processor,https://api.github.com/repos/hull-ships/hull-processor,False,True,85.0,17.0
4043,58175359,conda-forge/pythreejs-feedstock,https://api.github.com/repos/conda-forge/pythreejs-feedstock,False,True,25.0,66.0
4080,18931840,fhunleth/elixir_ale,https://api.github.com/repos/fhunleth/elixir_ale,False,True,33.0,80.0
4096,24008065,oliver-moran/jimp,https://api.github.com/repos/oliver-moran/jimp,False,True,261.0,467.0
4114,23852161,scalyr/scalyr-agent-2,https://api.github.com/repos/scalyr/scalyr-agent-2,False,True,192.0,166.0
4124,21781890,TechAtNYU/intranet,https://api.github.com/repos/TechAtNYU/intranet,False,True,85.0,93.0
4175,65468547,jd/tenacity,https://api.github.com/repos/jd/tenacity,False,True,74.0,167.0
4254,19696006,playcanvas/engine,https://api.github.com/repos/playcanvas/engine,False,True,988.0,749.0
4264,33807238,TeselaGen/openVectorEditor,https://api.github.com/repos/TeselaGen/openVectorEditor,False,True,89.0,45.0
4327,4118920,clojure-emacs/cider,https://api.github.com/repos/clojure-emacs/cider,False,True,816.0,4051.0
4363,30070153,silktide/lazy-boy,https://api.github.com/repos/silktide/lazy-boy,False,True,26.0,9.0
4446,21125004,clearhaus/gateway-api-docs,https://api.github.com/repos/clearhaus/gateway-api-docs,False,True,58.0,165.0
4477,8278413,curt-labs/API,https://api.github.com/repos/curt-labs/API,False,True,172.0,21.0
4506,61156750,samarkanddesign/samarkand-web,https://api.github.com/repos/samarkanddesign/samarkand-web,False,True,174.0,2.0
4513,9265294,lra/mackup,https://api.github.com/repos/lra/mackup,False,True,918.0,1350.0
4551,50961551,sketch7/ssv-core,https://api.github.com/repos/sketch7/ssv-core,False,True,29.0,1.0
4560,41870991,apartmentlist/bulk-processor,https://api.github.com/repos/apartmentlist/bulk-processor,False,True,16.0,17.0
4573,16865424,pimutils/vdirsyncer,https://api.github.com/repos/pimutils/vdirsyncer,False,True,146.0,403.0
4574,62218384,sgerrand/alpine-pkg-leiningen,https://api.github.com/repos/sgerrand/alpine-pkg-leiningen,False,True,14.0,2.0
4576,58879376,conda-forge/qtconsole-feedstock,https://api.github.com/repos/conda-forge/qtconsole-feedstock,False,True,19.0,49.0
4672,52803475,pulibrary/voyager_helpers,https://api.github.com/repos/pulibrary/voyager_helpers,False,True,71.0,40.0
4676,43964563,mattermost/desktop,https://api.github.com/repos/mattermost/desktop,False,True,392.0,2194.0
4761,54696342,conda-forge/boost-feedstock,https://api.github.com/repos/conda-forge/boost-feedstock,False,True,47.0,337.0
4765,28618902,FactomProject/factom-cli,https://api.github.com/repos/FactomProject/factom-cli,False,True,59.0,29.0
4784,21049751,auth0/ruby-auth0,https://api.github.com/repos/auth0/ruby-auth0,False,True,126.0,168.0
4862,28877721,DoSomething/aurora,https://api.github.com/repos/DoSomething/aurora,False,True,143.0,157.0
4876,66720666,conda-forge/cyclus-feedstock,https://api.github.com/repos/conda-forge/cyclus-feedstock,False,True,35.0,114.0
4878,3155610,linuxmint/muffin,https://api.github.com/repos/linuxmint/muffin,False,True,329.0,231.0
4881,19740058,klaascuvelier/gulp-copy,https://api.github.com/repos/klaascuvelier/gulp-copy,False,True,21.0,16.0
4904,56941978,Linuxbrew/brew,https://api.github.com/repos/Linuxbrew/brew,False,True,472.0,1074.0
4925,40011931,aplazame/woocommerce,https://api.github.com/repos/aplazame/woocommerce,False,True,34.0,1.0
4945,31013532,apiaryio/polls-api,https://api.github.com/repos/apiaryio/polls-api,False,True,50.0,31.0
4958,74431644,spotify/styx,https://api.github.com/repos/spotify/styx,False,True,723.0,1809.0
4971,53292445,pingcap/tipb,https://api.github.com/repos/pingcap/tipb,False,True,109.0,262.0
4972,45496477,kpfefferle/ember-cli-deploy-cloudfront,https://api.github.com/repos/kpfefferle/ember-cli-deploy-cloudfront,False,True,39.0,23.0
4996,23191453,salsita/geo-tree,https://api.github.com/repos/salsita/geo-tree,False,True,7.0,
5002,39850654,percolate/bfh,https://api.github.com/repos/percolate/bfh,False,True,24.0,38.0
