ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
astaxie/beego,Go,0.07692307692307693,284,648,89,0,1,12,15,22,22
astaxie/beego,Go,0.7741935483870968,6441,5483,236,0,24,7,10,251,23
astaxie/beego,Go,0,2,1,1,0,0,0,1,1,24
astaxie/beego,Go,0.0,0,1,1,0,0,1,1,1,25
astaxie/beego,Go,0.0,7,8,4,0,0,2,6,6,26
astaxie/beego,Go,0.16666666666666666,33,10,4,0,3,15,8,40,27
astaxie/beego,Go,0.7,21,21,4,0,14,6,7,19,28
astaxie/beego,Go,0.06896551724137931,612,557,19,0,2,27,16,32,29
astaxie/beego,Go,0.25,406,173,47,0,11,33,19,40,30
astaxie/beego,Go,0.4153846153846154,927,437,78,0,27,38,27,65,31
astaxie/beego,Go,0.42391304347826086,906,323,48,0,39,53,21,70,32
astaxie/beego,Go,0.32142857142857145,429,45,14,0,9,19,12,26,33
astaxie/beego,Go,0.5428571428571428,2669,952,111,0,38,32,26,268,34
astaxie/beego,Go,0.28,158,40,23,0,7,18,22,70,35
astaxie/beego,Go,0.7142857142857143,1956,706,91,0,15,6,16,168,36
astaxie/beego,Go,0.20833333333333334,297,76,20,0,5,19,15,34,37
astaxie/beego,Go,0.16666666666666666,105,33,13,0,3,15,10,23,38
astaxie/beego,Go,0.3333333333333333,289,27,10,0,4,8,9,18,39
astaxie/beego,Go,0.8,222,133,15,0,8,2,7,15,40
astaxie/beego,Go,0.3888888888888889,976,42,11,0,7,11,4,16,41
astaxie/beego,Go,0.0,16,5,5,0,0,7,6,7,42
astaxie/beego,Go,0.5,9,5,3,0,15,15,5,30,43
astaxie/beego,Go,0.25,52,34,11,0,2,6,8,14,44
astaxie/beego,Go,0.2222222222222222,225,82,12,0,4,14,6,14,45
caskdata/cdap,Java,0.6677631578947368,4959,3081,332,2,203,101,29,135,1
caskdata/cdap,Java,0.6985294117647058,497389,30409,3426,8,570,246,80,378,2
caskdata/cdap,Java,0.7186311787072244,16891,7978,909,26,945,370,121,482,3
caskdata/cdap,Java,0.7104700854700855,27885,12144,671,9,665,271,99,427,4
caskdata/cdap,Java,0.6298932384341637,4078,1656,179,1,177,104,28,111,5
caskdata/cdap,Java,0.7092391304347826,295377,25221,3157,29,783,321,125,564,6
caskdata/cdap,Java,0.6805054151624549,288491,19658,3654,70,1131,531,193,1022,7
caskdata/cdap,Java,0.7545710267229254,343396,44749,5328,23,1073,349,129,652,8
caskdata/cdap,Java,0.7426841574167508,59380,23429,2489,35,1472,510,160,1146,9
caskdata/cdap,Java,0.6703125,46784,20025,2372,92,1287,633,250,1174,10
caskdata/cdap,Java,0.6236673773987207,772275,48132,8851,23,585,353,145,926,11
caskdata/cdap,Java,0.6366622864651774,133068,1299240,7729,48,969,553,236,865,12
caskdata/cdap,Java,0.547486033519553,75082,27514,3606,79,1078,891,448,1391,13
caskdata/cdap,Java,0.4,959801,220416,9602,13,186,279,133,314,14
caskdata/cdap,Java,0.5755517826825127,38721,26131,4789,3,339,250,128,351,15
caskdata/cdap,Java,0.6069057104913679,33805,15085,1843,4,457,296,148,690,16
caskdata/cdap,Java,0.7018181818181818,221735,216664,2606,7,579,246,92,311,17
caskdata/cdap,Java,0.6983471074380165,34380,14092,1513,21,845,365,133,653,18
caskdata/cdap,Java,0.6340797378481704,1334211,24096,7400,64,1161,670,277,1122,19
caskdata/cdap,Java,0.6454081632653061,948588,34502,8702,8,506,278,128,342,20
caskdata/cdap,Java,0.6324152542372882,448399,14750,6172,9,597,347,158,456,21
caskdata/cdap,Java,0.6291172595520421,915232,38133,6983,42,955,563,207,598,22
caskdata/cdap,Java,0.4630738522954092,572284,82808,6448,31,464,538,224,1230,23
